Model,Company,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng service ceiling,Eng out service ceiling,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Takeoff ground run,Landing over 50ft,Landing ground roll,Gross weight lbs,Empty weight lbs,Length ft/in,Height ft/in,Wing span ft/in,Range N.M.
15 AC Sedan,Aeronca,Piston,145,104,91,46,36,13000,,450,,900,,1300,,2050,1180,25/3,3-Oct,37/5,370
11 CC Super Chief,Aeronca,Piston,85,89,83,44,15,12300,,600,,720,,800,,1350,820,20/7,9-Aug,36/1,190
7 CCM Champ,Aeronca,Piston,90,90,78,37,19,16000,,650,,475,,850,,1300,810,21/5,7-Aug,35/0,210
7 DC Champ,Aeronca,Piston,85,88,78,37,19,13000,,620,,500,,850,,1300,800,21/5,7-Aug,35/0,210
7 AC Champ,Aeronca,Piston,65,83,74,33,14,12500,,370,,632,,885,,1220,740,21/5,9-Aug,35/0,175
11 AC Chief,Aeronca,Piston,65,78,72,33,15,11000,,360,,583,,880,,1250,786,20/4,9-Aug,36/1,180
PA-60-700P Aerostar (preliminary),Aerostar Aircraft Corporation,Piston,350,264,230,80,165,25000,14500,1820,320,3080,1950,2100,1425,6315,4275,34/10,1-Dec,36/8,868
PA-602P Aerostar,Aerostar Aircraft Corporation,Piston,290,262,247,77,165,28000,12900,1755,302,2250,1800,2076,1217,6000,4125,34/9,1-Dec,36/7,1020
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Aerostar Aircraft Corporation,Piston,290,257,235,77,165,25000,8800,1460,240,2490,1900,2030,1230,6000,4056,34/10,1-Dec,36/8,1101
PA-601B turbochg Aerostar (prior'80=less perf),Aerostar Aircraft Corporation,Piston,290,257,237,77,165,30000,8800,1460,240,2490,1900,2030,1230,6000,3958,34/10,1-Dec,36/8,1174
8KCAB-180 Super Decathlon (w/optional speed kit),American Champion Aircraft Corporation,Piston,180,158,150,52,40,17200,,1230,,,,,,1800,1315,22/11,7-Jul,32/0,
